表1,,,,,,,,,,
日付,試合種類,対戦相手,会場,Q,SELENE得点,相手得点,,,,
2026.04.04,日の出ホルモンスプリングカップ,本郷中学,生目中学,4,45,30,,,,
2026.04.04,日の出ホルモンスプリングカップ,東海中学,生目中学,4,49,32,,,,
2026.04.05,日の出ホルモンスプリングカップ,EPSIRON,生目中学,4,42,58,,,,
2026.04.05,日の出ホルモンスプリングカップ,赤江東中学,生目中学,4,49,48,,,,
2026.04.18,練習試合,木花中学,木花中学,8,117,87,,,,
2026.04.25,練習試合,日向学院高校,日向学院高校,4,63,34,,,,
2026.04.25,練習試合,タートル（社会人）,日向学院高校,4,37,86,,,,
2026.04.29,練習試合,宮附中学,国光春中学,2,48,1,,,,
2026.04.29,練習試合,国光春中学,国光春中学,2,36,13,,,,
2026.04.29,練習試合,南郷中学,国光春中学,2,60,2,,,,
2026.04.29,練習試合,都農中学,国光春中学,2,37,10,,,,
2026.04.29,練習試合,日向中学,国光春中学,2,27,37,,,,
2026.04.29,練習試合,富田・高鍋東中学,国光春中学,2,40,7,,,,
2026.04.29,練習試合,野尻・飯野中学,国光春中学,2,39,10,,,,
2026.05.02,練習試合,宮商高校,宮商高校,9,50,171,,,,
2026.05.04,練習試合,EPSIRON,祝吉中学,4,51,44,,,,
2026.05.04,練習試合,REDSUNS,祝吉中学,4,42,35,,,,
2026.05.04,練習試合,祝吉中学,祝吉中学,2,56,22,,,,
2026.05.04,練習試合,ELPIS,祝吉中学,2,21,24,,,,
2026.05.04,練習試合,苅田中学,祝吉中学,2,32,12,,,,
2026.05.06,練習試合,CRISIS,宮崎市総合体育館,6,101,43,,,,
2026.05.09,練習試合,清武中学,生目台中学,4,81,18,,,,
2026.05.09,練習試合,生目台中学,生目台中学,4,61,51,,,,
